"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775202803000000","Ladder","1",""
"2","00775202800001150","Sealing plate I","1",""
"3","1040000108","Bolt M12×30-8.8","4","GB/T5783-2000"
"4","1040300054","Washer12","4","GB/T93-1987"
"5","1040300526","Washer12","4","GB/T97.1-2002"
"6","1040100127","Screw M6×12-8.8","5","GB/T70.1-2000"
"7","1040300062","Washer 6","5","GB/T93-1987"
"8","1040300051","Washer 6","5","GB/T97.1-2002"
"9","1020099123","Left motor","1","Containing hexagon 
socket bolt 3/8”-
24UNF×1-1/4”L"
"10","1040300061","Washer 10-200HV","16","GB/T97.1-2002"
"11","1040300067","Washer 10","16","GB/T93-1987"
"12","1040002435","Bolt M10×35-8.8","8","GB/T5783-2000"
"13","00775202801800000","Motor seat","2",""
"14","1020099122","Right motor","1","Containing hexagon 
socket bolt 3/8”-
24UNF×1-1/4”L"
"15","1030800538","Tire","2",""
"16","1040300247","Washer 16-200HV","2","GB/T96.1-2002"
"17","1040200742","Nut M16×1.5-10","2","GB/T6183.2-2000"
"18","00775202800001080","Cover","2",""
"19","1040300044","Washer 4","6","GB/T93-1987"
"20","1040100618","Screw M4×16-8.8","6","GB/T818-2000"
"21","00775202800001130","Box holder","1",""
"22","1020605443","Residual current circuit breaker","1",""
