"NO.","Material No.","Item and Spec","Units","Remark"
"1","1030800538","Tire","2",""
"2","00775602801000000","Left steering wheel carrier","1",""
"3","1010100889","Motor","2",""
"4","1040200507","Nut M12-8","8","GB/T889.1-2000"
"5","1040000225","Bolt M12×90","8","GB/T5783-2000"
"6","00775602801800000","Right steering wheel carrier","1",""
"7","00775702801600000","Steering linkage 
  (ZS1414HA/HD Series)","1",""
"","00775602803400000","Steering linkage","1",""
"8","1010201394","Steering cylinder","1",""
"9","1040500034","Pin B20×60","2","GB/T882-1986"
"10","1040500394","Split pin 5×40","2","GB/T91-2000"
"11","1040300106","Washer 20","2","GB/T97.1-2002"
"12","00775602800001050","Wearing ring","2",""
"13","1054400312","Composite bush 57×63×38","4",""
"14","1054400313","Composite bush 25×30×12.5","2",""
"15","1054400314","Composite bush 25×30×15","2",""
"16","1040301847","Washer 10","2","GB/T5287-1985"
"17","1040300067","Washer 10","2","GB/T93-1987"
"18","1040000116","Bolt M10×20-8.8","2","GB/T5783-2000"
"19","1040300054","Washer 12","2","GB/T93-1987"
"20","1040100157","Screw M12×20-8.8","2","GB/T70.1-2000"
"21","1040100127","Screw M6×12-8.8","2","GB/T70.1-2000"
"22","00775602800001040","End cover","2",""
"23","1040200503","Nut M8-8","1","GB/T889.1-2000"
"24","1990201348","Cover plate","1",""
"25","1019901543","Twin tube clamp","3",""
"26","1040100728","Screw M8×110-8.8","1","GB/T70.1-2000"
"27","1040500535","Split pin 4×80","2","GB/T91-2000"
