"NO.","Material No.","Item and Spec","Units","Remark"
"1","1010201559","Upper lift cylinder","1",""
"2","1040102034","Screw M8×60-10.9","8","GB/T70.1-2000"
"3","1040300063","Washer 8","8","GB/T93-1987"
"4","1010306749","Cylinder control valve 
(ZS1414HD/ZS1414DC/ 
ZS1414HA/ZS1414AC)","1",""
"","1010306750","Cylinder control valve  
(ZS1414HD-Li/ZS1414DC-Li/ 
ZS1414HA-Li/ ZS1414AC-Li)","1",""
"5","1040000126","Bolt M12×100-8.8","4","GB/T5782-2000"
"6","1040300526","Washer 12","8","GB/T97.1-2002"
"7","00775700302400000","Safety arm","2",""
"8","1040200507","Nut M12-8","12","GB/T889.1-2000"
"9","1021403993","Pressure sensor","1",""
"10","1010307396","Cylinder control valve","1",""
"11","00775600000001030","Limit block 
(Indoor Series)","2",""
"","00775600330001010","Limit block 
(Outdoor Series)","2","2022.10 Revise"
"12","1040300051","Washer 6","6","GB/T97.1-2002"
"13","1040300062","Washer 6","6","GB/T93-1987"
"14","1040100620","Screw M6×16","6","GB/T818-2000"
"15","1010201560","Lower lift cylinder","1",""
"16","1040000101","Bolt M12×40-8.8","8","GB/T5782-2000"
"17","00775600302600000","Pressing plate","2",""
"18","00775600300001110","Plastic pad","40",""
