"Item","Part Number","Description","Qty.","Remark"
"1","90029888","Valve","1",""
"2","92051218","Tower Telescopic Cylinder Assembly","1",""
"3","00000674","Bolt  GB/T 5783  M10 × 20","4",""
"4","00000679","Spring Washer  GB/T 93  10","4",""
"5","00000615","Flat Washer  GB/T 97.1  10","4",""
"6","92000139","Insert","4",""
"7","92000194","Sliding Block","2",""
"8","00004947","Fitting, 90°","2",""
"9","00003607","Bolt  GB/T 5783  M8 × 50","4",""
"10","00000609","Spring Washer  GB/T 93  8","4",""
"11","00000608","Flat Washer  GB/T 97.1  8","4",""
"12","92052110","Seal Kit 85/60","1",""
