"Item","Part Number","Description","Qty.","Remark"
"1","00002333","Screw  GB/T 818  M4 × 8 - H","4",""
"2","00005395","LED Panel","1",""
"3","00005459","Screw  GB/T 819  M5 × 8 - H","2",""
"4","00005393","Joystick (Steer &Drive)","1",""
"5","00006134","Switch, Toggle","7",""
"6","00005401","Switch, Toggle","2",""
"7","00000876","Screw  GB/T 70  M6 × 16","5",""
"8","00000621","Spring Washer  GB/T 93  6","5",""
"9","00000620","Flat Washer  GB/T 97.1  6","5",""
"10","00002326","Alarm","1",""
"11","00001252","Screw  GB/T 70  M5 × 12","8",""
"12","00005391","Hinge","2",""
"13","92000094","Bracket","1",""
"14","92000092","Platform Control Box","1",""
"15","00005396","Housing for Male Terminals","1",""
"16","00005398","Housing for Female Terminals","1",""
"17","00004693","Back shell","1",""
"18","00005399","Housing for Female Terminals","1",""
"19","00005397","Housing for Male Terminals","1",""
"20","00003164","Load Sensor Amplifier","1",""
"21","00001987","Screw  GB/T 70  M4 × 8","2",""
"22","00000993","Bolt  GB/T 5783  M8 × 25","4",""
"23","00000609","Spring Washer  GB/T 93  6","4",""
"24","00000608","Flat Washer  GB/T 97.1  6","4",""
"25","00002002","Screw  GB/T 70  M4 × 10","8",""
"26","00005392","Latch","2",""
"27","00008699","Controller","1",""
"--","85000074","Controller (canbus load sensor)","1",""
"--","85000075","Controller (analog load sensor)","1",""
