"Item","Part Number","Description","Qty.","Remark"
"1","00003607","Bolt  GB/T 5783  M8 × 50","2",""
"2","00000609","Spring Washer  GB/T 93  8","12",""
"3","00000608","Flat Washer  GB/T 97.1  8","6",""
"4","92013750","Plate","2",""
"5","92002826","Clamp","4",""
"6","92101018","Turntable","1",""
"7","92049122","Support","1",""
"8","00001161","Bolt  GB/T 5783  M16 × 40","4",""
"9","00001035","Spring Washer  GB/T 93  16","4",""
"10","00000997","Flat Washer  GB/T 97.1  16","4",""
"11","92049130","Housing","1",""
"12","00001163","Nut  GB/T 6182  M8","2",""
"13","92030704","Tube","2",""
"14","00000995","Bolt  GB/T 5783  M8 × 30","2",""
"15","00000832","Screw  GB/T 70.3  M6×25","2",""
"16","10011979","Handle","1",""
"17","92049132","Plate","1",""
"18","00001033","Nut  GB/T 6182  M6","2",""
"19","00000620","Flat Washer  GB/T 97.1  6","2",""
"20","92009577","Bolt","1",""
"21","00002583","Flat Washer  GB/T 96.1  6","1",""
"22","92032848","Seal","1",""
"23","92049128","Seal","1",""
"24","00000816","Bolt  GB/T 5783  M12 × 25","4",""
"25","00000815","Spring Washer  GB/T 93  12","4",""
"26","00000814","Flat Washer  GB/T 97.1  12","4",""
"27","00008004","Hydraulic Generator (5kW/110V)","1","Option 1"
"","00008094","Hydraulic Generator (5kW/220V)","1","Option 2"
"28","00001506","Fitting, Straight","3",""
