"Item","Part Number","Description","Qty.","Remark"
"1","00002012","Bolt  GB/T 5782  M12 × 130","1",""
"2","92048398","Roller","1",""
"3","92048400","Roller","1",""
"4","92048401","Shim","2",""
"5","92048402","Shim","2",""
"6","92048393","Sliding Block","3",""
"7","00000765","Screw  GB/T 70.3  M8×20","6",""
"8","92050971","Support","1",""
"9","00001028","Flat Washer  GB/T 96.1  10","4",""
"10","00000623","Nut  GB/T 6182  M10","2",""
"11","00001041","Bolt  GB/T 5783  M10 × 40","2",""
"12","92048396","Shim","1",""
"13","92048397","Shim","1",""
"14","00000679","Spring Washer  GB/T 93  10","2",""
