"Item","Part Number","Description","Qty.","Remark"
"1","00000683","Bolt  GB/T 5783  M10 × 30","6",""
"2","00000615","Flat Washer  GB/T 97.1  10","24",""
"3","92050948","Support","1","BA28RT 
BA28BRT"
"","92051452","Support","1","BA24RT 
BA24BRT"
"4","00000623","Nut  GB/T 6182  M10","12",""
"5","00001041","Bolt  GB/T 5783  M10 × 40","4",""
"6","00000679","Spring Washer  GB/T 93  10","4",""
"7","00001033","Nut  GB/T 6182  M6","2",""
"8","00000620","Flat Washer  GB/T 97.1  6","4",""
"9","92048339","Roller","2",""
"10","00006414","Bolt  GB/T 5782  M6 × 145","2",""
"11","92050946","Chain","1","BA28RT 
BA28BRT"
"","92051450","Chain","1","BA24RT 
BA24BRT"
"12","00003607","Bolt  GB/T 5783  M8 × 50","1",""
"13","00000608","Flat Washer  GB/T 97.1  8","2",""
"14","92100679","Plate","1",""
"15","92100693","Clamp","1",""
"16","00001163","Nut  GB/T 6182  M8","1",""
"17","92050944","Support","1","BA28RT 
BA28BRT"
"","92051449","Support","1","BA24RT 
BA24BRT"
"18","00000854","Screw  GB/T 70.3  M12×25","8","BA28RT 
BA28BRT"
"","00000854","Screw  GB/T 70.3  M12×25","6","BA24RT 
BA24BRT"
"19","92100680","Plate","2",""
"20","92100678","Clamp","1",""
"21","00002467","Bolt  GB/T 5783  M10 × 90","2",""
