"Item","Part Number","Description","Qty.","Remark"
"1","00009136","Customized Fitting","1",""
"2","00001238","Fitting, Tee","1",""
"3","92100620","Hose Assembly","1",""
"4","92100619","Hose Assembly","1",""
"5","00001318","Fitting, Straight","1",""
"6","92100618","Hose Assembly","1",""
"7","00006461","Fitting, Straight","5",""
"8","00001833","Fitting, 90°","1",""
"9","00002119","Fitting, Tee","2",""
"10","92048876","Hose Assembly","2",""
"11","00001262","Fitting, Straight","4",""
"12","00001834","Fitting, 90°","4",""
"13","92100621","Hose Assembly","1",""
"14","00001501","Fitting, Straight","4",""
"15","92048866","Customized Fitting","1",""
"16","92100622","Hose Assembly","1",""
"17","92048898","Hose Assembly","1",""
"18","92048910","Hose Assembly","1",""
