"Item","Part Number","Description","Qty.","Remark"
"1","00001034","Screw  GB/T 70  M6 × 25","16",""
"2","00002505","Screw  GB/T 70  M5 × 50","8",""
"3","10007023","Pinch Guard Support","16",""
"4","00001033","Nut  GB/T 6182  M6","40",""
"5","00000613","Nut  GB/T 6182  M5","8",""
"6","92100821","Plug","2",""
"7","92100767","Pinch Guard","1",""
"8","00000619","Bolt  GB/T 5783  M6 × 25","24",""
"9","00000621","Spring Washer  GB/T 93  6","24",""
"10","00000620","Flat Washer  GB/T 97.1  6","24",""
"11","00002527","Bolt  GB/T 5782  M12 × 80","4",""
"12","00000815","Spring Washer  GB/T 93  12","4",""
"13","00000814","Flat Washer  GB/T 97.1  12","8",""
"14","92100777","Deck Plate","1",""
"15","00001249","Nut  GB/T 6182  M12","4",""
"16","00002583","Flat Washer  GB/T 96.1  6","24",""
