"Item","Part Number","Description","Qty.","Remark"
"30","00001729","Fitting, Straight","2",""
"31","92100058","Hose Assembly","1",""
"32","92100628","Hose Assembly","1",""
"33","92048935","Hose Assembly","1",""
"34","00001507","Fitting, Straight","1",""
"35","92100627","Hose Assembly","1",""
"36","00003963","Fitting, Straight","2",""
"37","00001842","Fitting, 90°","1",""
"38","92010235","Check Valve","1",""
"39","00005620","Fitting, Straight","1",""
"40","00003969","Fitting, 90°","1",""
"41","00001116","Plug","4",""
"42","00001506","Fitting, Straight","1",""
"43","00001114","Plug","3",""
"44","92100626","Hose Assembly","1",""
"--","90003625","SAE Flange FittingFL-12","1",""
"--","92048924","OR Gasket","1",""
"--","00000615","Flat Washer  GB/T 97.1  10","4",""
"--","00000679","Spring Washer  GB/T 93  10","4",""
"--","00000683","Bolt  GB/T 5783  M10 × 30","4",""
"45","00007155","Flange Fitting","1",""
"--","00000615","Flat Washer  GB/T 97.1  10","4",""
"--","00000679","Spring Washer  GB/T 93  10","4",""
"--","00000683","Bolt  GB/T 5783  M10 × 30","4",""
"46","92100617","Hose Assembly","1",""
"47","00001731","Fitting, Straight","1",""
"48","90029476","WU Filter","1",""
"49","00001504","Fitting, Straight","1",""
"50","92100629","Hose Assembly","1",""
