"Item","Part Number","Description","Qty.","Remark"
"1","92048687","Shim","4",""
"2","92048684","Shim","4",""
"3","","Lifting Cylinder Assembly (Refer to 5-3)","1",""
"4","92048727","Pin, Pivot","1",""
"5","00002548","Screw  GB/T 70  M12 × 120","1",""
"6","00001249","Nut  GB/T 6182  M12","1",""
"7","92000085","Support","1",""
"8","00000674","Bolt  GB/T 5783  M10 × 20","3",""
"9","00000679","Spring Washer  GB/T 93  10","3",""
"10","00000615","Flat Washer  GB/T 97.1  10","3",""
"11","00006818","8902-20120 Pin, Lock","1",""
"12","00002224","Bolt  GB/T 5783  M20 × 50","1",""
"13","00002219","Spring Washer  GB/T 93  20","1",""
"14","00001050","Flat Washer  GB/T 97.1  20","1",""
"15","92048683","Pin, Pivot","1",""
