"Item","Part Number","Description","Qty.","Remark"
"1","92049293","Left Axle Lockout Cylinder Assembly 
(To SN BTEM023I00172)","1",""
"1.B","92102490","Left Axle Lockout Cylinder Assembly 
(From SN BTEM023I00173)","1",""
"2","92047788","Valve","1",""
"3","92049302","Protective Guard","1",""
"4","00000608","Flat Washer  GB/T 97.1  8","2",""
"5","00000609","Spring Washer  GB/T 93  8","4",""
"6","00001026","Bolt  GB/T 5782  M8 × 80","4",""
"7","00002000","Flat Washer  GB/T 96.1  8","2",""
"8","00004922","Fitting, 90°","1",""
"9","00001239","Fitting, Tee","1",""
"10","92050380","Seal Kit 70/45","1",""
