"Item","Part Number","Description","Qty.","Remark"
"1","00000745","Bolt  GB/T 5783  M6 × 12","3",""
"2","00002583","Flat Washer  GB/T 96.1  6","3",""
"3","92100775","Housing","1",""
"4","00005191","Bolt  GB/T 5783  M4 × 55","4",""
"5","00000779","Spring Washer  GB/T 93  4","4",""
"6","00000778","Flat Washer  GB/T 97.1  4","4",""
"7","00007023","Bolt  GB/T 5782  M6 × 80","1",""
"8","00000620","Flat Washer  GB/T 97.1  6","2",""
"9","00002228","Screw  GB/T 70  M4 × 25","1",""
"10","92100774","Roller","1",""
"11","00001033","Nut  GB/T 6182  M6","1",""
"12","00001236","Nut  GB/T 889.1  M4","5",""
"13","00005189","Pull-Wire Switch","1",""
"14","00001163","Nut  GB/T 6182  M8","5",""
"15","00002000","Flat Washer  GB/T 96.1  8","8",""
"16","00003700","Nut  GB/T 889.1  M3","3",""
"17","00005190","Beacon","1",""
"18","92100770","Bracket","1",""
"19","00003610","Flat Washer  GB/T 96.1  4","4",""
"20","00000609","Spring Washer  GB/T 93  8","4",""
"21","92100773","Wire Rope Fastener","1",""
"22","00000608","Flat Washer  GB/T 97.1  8","1",""
"23","00002507","Bolt  GB/T 5783  M8 × 55","4",""
"24","50005787","Platform","1",""
