"Item","Part Number","Description","Qty.","Remark"
"1","00006122","Bolt  GB/T 5786  M12×1.25 × 30","16",""
"2","00000815","Spring Washer  GB/T 93  12","20",""
"3","00000814","Flat Washer  GB/T 97.1  12","20",""
"4","50009035","Engine Bracket","1",""
"5","00010601","Engine","1",""
"6","00011089","Fan","1",""
"7","00002046","Bolt  GB/T 5783  M12 × 35","4",""
"8","50009036","Engine Bracket","1",""
"9","00000623","Nut  GB/T 6182  M10","8",""
"10","00000615","Flat Washer  GB/T 97.1  10","16",""
"11","00002162","Rubber Mounting","4",""
"12","00000683","Bolt  GB/T 5783  M10 × 30","8",""
"13","00000679","Spring Washer  GB/T 93  10","8",""
