"Item","Part Number","Description","Qty.","Remark"
"1","92029593","Shim","4",""
"2","92029594","Shim","4",""
"3","00000428","8813-506060 Sleeve Bearing","2",""
"4","00000139","895-50500 Pin, Pivot","1",""
"5","00000222","8902-16095 Pin, Lock","3",""
"6","00001161","Bolt  GB/T 5783  M16 × 40","1",""
"7","00001035","Spring Washer  GB/T 93  16","3",""
"8","00000997","Flat Washer  GB/T 97.1  16","3",""
"9","","Upper Lifting Cylinder Assembly (Refer to 
5-3)","1",""
"10","00010238","895-50243 Pin, Pivot","1",""
"11","00001036","Bolt  GB/T 5783  M16 × 50","1",""
"12","00010237","895-50235 Pin, Pivot","1",""
"13","00001057","Bolt  GB/T 5783  M16 × 45","1",""
