"Item","Part Number","Description","Qty.","Remark"
"16","50008486","Hose Assembly","1","BA22CRT2"
"","50008625","Hose Assembly","1","BA20CRT2"
"","50008638","Hose Assembly","1","BA18CRT2"
"","50008658","Hose Assembly","1","BA16CRT2"
"17","50009323","Hose Assembly","1",""
"18","50009394","Hose Assembly","1","BA22CRT2"
"","50009392","Hose Assembly","1","BA20CRT2"
"","50009390","Hose Assembly","1","BA18CRT2"
"","50008642","Hose Assembly","1","BA16CRT2"
"19","50008485","Hose Assembly","1","BA22CRT2"
"","50008624","Hose Assembly","1","BA20CRT2"
"","50008637","Hose Assembly","1","BA18CRT2"
"","50008657","Hose Assembly","1","BA16CRT2"
"20","00001508","Fitting, Straight","2",""
"21","50008478","Hose Assembly","1","BA22CRT2"
"","50006486","Hose Assembly","1","BA20CRT2"
"","50008634","Hose Assembly","1","BA18CRT2"
"","50008585","Hose Assembly","1","BA16CRT2"
"22","50008477","Hose Assembly","1","BA22CRT2"
"","50008454","Hose Assembly","1","BA20CRT2"
"","50008633","Hose Assembly","1","BA18CRT2"
"","50008651","Hose Assembly","1","BA16CRT2"
"23","00001835","Fitting, 90°","2",""
"24","00002945","Fitting, Straight","2",""
"25","00001316","Fitting, Straight","1",""
"26","50008479","Hose Assembly","1","BA22CRT2"
"","50008622","Hose Assembly","1","BA20CRT2"
"","50008635","Hose Assembly","1","BA18CRT2"
"","50008652","Hose Assembly","1","BA16CRT2"
