"Item","Part Number","Description","Qty.","Remark"
"1","00000678","Bolt  GB/T 5783  M10 × 25","4",""
"2","00000679","Spring Washer  GB/T 93  10","10",""
"3","00000615","Flat Washer  GB/T 97.1  10","8",""
"4","50007656","Housing","1",""
"5","00010227","Radiator","1",""
"6","00001041","Bolt  GB/T 5783  M10 × 40","4",""
"7","00001028","Flat Washer  GB/T 96.1  10","6",""
"8","50009049","Housing","1",""
"9","50009050","Support","1",""
"10","00002251","Rubber Mounting","2",""
"11","00000603","Bolt  GB/T 5782  M10 × 55","2",""
"12","00000623","Nut  GB/T 6182  M10","4",""
