"Item","Part Number","Description","Qty.","Remark"
"1","92049380","Fuse Box","1",""
"--","00006958","Fuse Kit","1",""
"2","92048846","Bracket","1",""
"3","92019709","Jump Start Battery Feed Stud, Negative","1",""
"4","92019710","Jump Start Battery Feed Stud, Positive","1",""
"5","92049050","Power Switch","1",""
"6","00002205","DC Contactor","1",""
"7","00003949","Bolt  GB/T 5783  M5 × 16","4",""
"8","00000606","Spring Washer  GB/T 93  5","4",""
"9","00000605","Flat Washer  GB/T 97.1  5","4",""
"10","00002918","Contactor, Preheat","1",""
"11","00000875","Bolt  GB/T 5783  M8 × 20","2",""
"12","00000609","Spring Washer  GB/T 93  8","1",""
"13","00002000","Flat Washer  GB/T 96.1  8","2",""
"14","00001163","Nut  GB/T 6182  M8","4",""
