"NO.","Material No.","Item and Spec","Units","Remark"
"16","1040100378","Screw M5×20-8.8","4","GB/T70.1-2000"
"17","1040200503","Nut M8-8","8","GB/T889.1-2000"
"18","1040200506","Nut M6-8","2","GB/T889.1-2000"
"19","1040300051","Washer 6-200HV","2","GB/T97.1-2002"
"20","1040300062","Washer 6","1","GB/T93-1987"
"21","1040100237","Screw M6×30-8.8","2","GB/T70.1-2000"
"22","1020104319","Motor driver","1",""
"23","1040101606","Screw M8×12-8.8","4","GB/T70.3-2000"
"24","1011300151","Tank","1",""
"25","1010306187","Control valve 
  (ZS0808AC)","1",""
"","1010306289","Control valve   
(ZS0808AC-Li)","1",""
"26","1040000267","Bolt M8×20-8.8","6","GB/T5783-2000"
"27","1040300066","Washer 8-200HV","8","GB/T97.1-2002"
"28","1040300063","Washer 8","4","GB/T93-1987"
"29","1040004517","Bolt M8×16-8.8","4","GB/T5783-2000"
"30","1029804041","Screw M4×25-4.8","2","GB/T70.1-2000"
"31","1020104088","Ground control assembly","1",""
"32","1020521389","Key switch","1",""
"33","1020304979","Breaker","1",""
"34","1020502039","Emergency stop button","1",""
