"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040000156","Bolt M8×60","6","GB/T5783-2000"
"2","1040300066","Washer 8","12","GB/T97.1-2002"
"3","1040200503","Nut M8-8","6","GB/T889.1-2000"
"4","00775600100600000","Guard rails I","1",""
"5","00775600101400000","Guard rails III","1",""
"6","1999904986","Storage box","1",""
"7","1040102341","Screw M5×12-8.8","4","GB/T70.1-2000"
"8","1040300048","Washer 5","4","GB/T97.1-2002"
"9","1040200867","Nut M5","4","GB/T889.1-2000"
"10","00775600101200000","Guard rails II","1",""
"11","1100400025","D Pin 6.3×55","2",""
"12","00775600102600000","Pulley assembly","2",""
"13","00775600100800000","Pedal","1",""
"14","1040000114","Bolt M10×25","2","GB/T5783-2000"
"15","1040300067","Washer 10","2","GB/T93-1987"
"16","1040300061","Washer 10","2","GB/T97.1-2002"
"17","1040102718","Screw M8×50","8","GB/T70.1-2000"
"18","00775600102400000","Platform pin mounting 
base","2",""
"19","00775600100001020","Gasket I","2",""
"20","00775600101600000","Lower components","1",""
