"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775300000011040","Lower sliding block","2",""
"2","1040000072","Bolt M10×65-8.8","2","GB/T5783-2000"
"3","1040200504","Nut M10-8","2","GB/T889.1-2000"
"4","00775300000011030","Lower sliding axle","1",""
"5","1040000288","Bolt M8×25-8.8","1","GB/T5783-2000"
"6","1040300063","Washer 8","1","GB/T93-1987"
"7","1040300066","Washer 8","1","GB/T97.1-2002"
"8","00775600000001050","Articulated pin","1",""
"9","00775300000011020","Lower stationary axle","1",""
"10","1040200507","Nut M12-8","4","GB/T889.1-2000"
"11","1040300526","Washer 12","8","GB/T97.1-2002"
"12","00775300000011080","Upper sliding block","2",""
"13","1040000807","Bolt M12×120-8.8","4","GB/T5782-2000"
"14","00775300000011060","Upper stationary axle","4",""
"15","00775300100000000","Work platform","1",""
"16","00775300310000000","Scissor arm","1",""
"17","00775302800000000","Chassis(ZS0607HD)","1",""
"","00775302810000000","Chassis(ZS0607DC)","1",""
"","00775302820000000","Chassis(ZS0607HD-Li)","1",""
"","00775302830000000","Chassis(ZS0607DC-Li)","1",""
"","00775302880000000","Chassis(ZS0607HA-Li)","1",""
"","00775302870000000","Chassis(ZS0607AC-Li) (Indoor Series)","1",""
"","007753028C0000000","Chassis(ZS0607HA)","1",""
"","007753028A0000000","Chassis(ZS0607AC) (Indoor Series)","1",""
"","00775302890000000","Chassis(ZS0607ACW)","1",""
"","007753028D0000000","Chassis(ZS0607ACW-Li)","1",""
"","007753028B0000000","Chassis(ZS0607DCS)","1","2022.10 Revise"
"","007753028Q0000000","Chassis(ZS0607AC) (Outdoor Series)","1","2022.10 Revise"
"","007753028R0000000","Chassis(ZS0607AC-Li) (Outdoor Series)","1","2022.10 Revise"
"18","00775300000011050","Upper sliding block","2",""
