"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775307080402040","Label- Store the Operation 
and Safety Manual","1",""
"2","00775207010403010","Label- Safety Rules (Indoor Series)","1",""
"","00775307010402010","Label- Safety Rules(Outdoor Series)","1","2022.10 Revise"
"3","00775207010403070","Danger- Tip-over Hazard","1",""
"4","00775307080402030","Label- Read the Instructions Carefully","2",""
"5","00775307080202090","Label- Lanyard Anchorage Point","4",""
"6","00775707030201020","Label- Capacity, 260kg (Indoor Series)","1",""
"","00775507010201030","Label- Capacity, 350kg(Outdoor Series)","","2022.10 Revise"
"7","00775307080202210","Label- Forklift Hole","2",""
"8","00775307080202010","Label- Lifting and tying","4",""
"9","00775307080402150","Label- Emergency Lowering","1",""
"10","00775307080401050","Label- AC Power to Platform","1",""
"11","00775607010401030","Label- Wheels Load, 1280kg","4",""
"12","00775307080402110","Instruction- Main Power Switch Operation","1",""
"13","00775307080402060","Danger- Explosion and Fire Hazard","1",""
"14","00775307040401040","Danger- Crushing Hazard","5",""
"15","00775307040401050","Label- Safety Arm","4",""
"16","00775307080402170","Label- Max Manual Force (Indoor Series)","1",""
"","00775307010402030","Label- Max Manual Force(Outdoor Series)","1","2022.10 Revise"
"17","00775307080401060","Label- Platform Power Rated Voltage","1",""
"18","00775307040401100","Danger- Tip-over Hazard","1",""
"19","00775307080402130","Label- Pre-operation Inspection","1",""
"20","00775307080202140","Label- Charger Power Supply","1",""
