"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040000076","Bolt M6×25-8.8","2","GB/T5783-2000"
"2","1040300062","Washer 6","8","GB/T93-1987"
"3","1040300051","Washer 6","8","GB/T97.1-2002"
"4","1109900766","Battery door lock","1",""
"5","00775602801601040","Protecting bush II","1",""
"6","00775702800620000","Battery Tray box 
  (ZS1414DC-Li/HA-Li/AC-Li)","1",""
"","00775602801620000","Battery Tray box   
(ZS1212DC-Li/HA-Li/AC-Li 
ZS1012DC-Li/HA-Li/AC-Li 
ZS0812DC-Li/HA-Li/AC-Li)","1",""
"7","00775602801601010","Coil III","1",""
"8","1029907623","Vehicle-mounted battery charger","1",""
"9","1040300060","Washer 5","2","GB/T93-1987"
"10","1040102341","Screw M5×12-8.8","2","GB/T70.1-2000"
"11","1020521277","Main power switch","1",""
"12","1020999017","Battery","1",""
"13","00775602800601030","Cushion rubber","1",""
"14","00775602800601010","Limited post","1",""
"15","1040100519","Screw M12×80-8.8","1","GB/T70.1-2000"
"16","1040300054","Washer 12","1","GB/T93-1987"
"17","1040003761","Bolt M6×25-8.8","4","GB/T5783-2000"
"18","00775602820201070","Rubber Washer","4",""
"19","00775602820201080","Counterweight","1",""
"20","1040100886","Screw M8×20","1","GB/T70.1-2000"
