"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040200506","Nut M6-8","6","GB/T889.1-2000"
"2","00775302840601030","Battery holder","2",""
"3","1020903319","Battery","4","Foreign 
configuration"
"","1020903421","Battery","4","Domestic 
configuration"
"4","1109901025","Plum lever screw D=38-M10×50","1",""
"5","00775302840610000","Tray welding","1",""
"6","00775800100001110","Rubber spacer","3",""
"7","00775302841000000","Front door weldment","1",""
"8","1040101212","Screw M6×20","4","GB/T818-2000"
"9","1040300062","Washer 6","4","GB/T93-1987"
"10","1040300051","Washer 6-200HV","4","GB/T97.1-2002"
"11","1101000131","Panel lock","1",""
"12","1040000018","Bolt M8×30","2","GB/T5783-2000"
"13","1040300066","Washer 8-200HV","2","GB/T97.1-2002"
"14","1040001680","Bolt M10×30","2","GB/T5783-2016"
"15","1040300061","Washer 10-200HV","8","GB/T97.1-2002"
"16","1040200507","Nut M12-8","2","GB/T889.1-2000"
"17","1040300526","Washer 12","2","GB/T97.1-2002"
"18","1040002240","Bolt M12×75","2","GB/T5782-2000"
"19","00775302840620000","Battery mounting plate","2",""
"20","1040200504","Nut M10-8","6","GB/T889.1-2000"
"21","00775302840601040","Nylon roller","6",""
"22","1040004535","Bolt M10×60","6","GB/T5782-2000"
