"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040100237","Screw M6×30-8.8","2","GB/T70.1-2000"
"2","1040300051","Washer 6","2","GB/T97.1-2002"
"3","00775302840201100","Rear panel","1",""
"4","00775302840001320","Driver mounting plate","1",""
"5","1020005163","Electric drive","1",""
"6","1020201964","GPS terminal","1",""
"7","1020605226","Continuation protector","1",""
"8","1020304978","Basin type horn","1",""
"9","1020304604","DC contactor","1",""
"10","1020604246","Fuse holder","1",""
"11","1020104328","Ground control assembly","1",""
"12","1020502039","Emergency stop button head","1",""
"13","1020304979","Breaker","1",""
"14","1020521389","Key switch","1",""
"15","1020605443","Leakage circuit breaker","1",""
"16","1020005551","Motor","2",""
"17","1030202864","Reducer","2",""
"18","00775302840001390","Drive sprocket","2",""
"19","00775302840001310","Big gasket","2",""
"20","1040000116","Bolt M10×20-8.8","2","GB/T5783-2016"
