"NO.","Material No.","Item and Spec","Units","Remark"
"1","00772407020201030","Leg load and distance","4",""
"2","00775307080402220","Safety arm","4",""
"3","00775307080402100","Crushing hazard","5",""
"4","00775307080202090","Safety lanyard points","4",""
"5","00775307080401060","Label- Platform Power Rated Voltage","1",""
"6","00775307080401080","Label- non-insulated","1",""
"7","00775307080401010","Label-CE","1",""
"8","00775407000201090","Label-IPAF","1",""
"9","00775307080401030","Danger- Pinching Hazard","2",""
"10","00775307080402120","Overturning hazard","1",""
"11","00775307080202010","Tie down and Lifting point","4",""
"12","00775307080402130","Pre-start check","1",""
"13","00775307080402110","Main power switch","1",""
"14","00775307080202140","Charger power","1",""
"15","00775307080402150","Emergency lowering","1",""
"16","00775307080202210","Forklift lift","4",""
"17","00772407020202200","Weight of 4045 kg/8918 lbs","2",""
"18","00775307080401070","Use safety arm","1",""
"19","00775307080402040","Keep the manual","1",""
"20","00775307080402020","Overturning hazard","1",""
"21","007753070H0401020","Safety rules","1",""
"22","00775307080402030","Read Operation and Safety Manual 
carefully","2",""
"23","00775307080402170","Max manual force","1",""
"24","00775307080402180","Tilted ground","1",""
"25","00775307080401090","High-altitude walking","1",""
"26","00772407020201060","Load of 350 kg/770 lbs","1",""
"27","00775307080401020","Electrocution hazard","1",""
"28","00775307080401050","AC power","1",""
"29","00775307080401040","High pressure liquid hazard","1",""
"30","00775307080402060","Explosion and fire hazard","1",""
