"NO.","Material No.","Item and Spec","Units","Remark"
"1","1054400336","Composite bush 
32.13/32.21×38.05/38.1×30","26",""
"2","00775300340400000","Internal scissor arm I","1",""
"3","00775300340200000","External scissor arm I","1",""
"4","00775300340600000","Internal scissor arm II","1",""
"5","00775300341200000","External scissor arm II","2",""
"6","00775300340800000","Internal scissor arm III","1",""
"7","00775300341000000","Internal scissor arm IV","1",""
"8","00775300341600000","External scissor armⅣ","1",""
"9","1054400338","Composite bush 
32.13/32.21×38.05/38.1×50","4",""
"10","00775300341800000","External scissor arm V","1",""
"11","00775300341400000","External scissor arm III","1",""
"12","1040200504","Nut M10-8","15","GB/T889.1-2000"
"13","1040000072","Bolt M65×80-8.8","13","GB/T5782-2000"
"14","00775300310001020","Axle II","2",""
"15","1054400337","Composite bush 
32.13/32.21×38.05/38.1×20","4",""
"16","00775300310001100","Bearing spacer","2",""
"17","00775300310001120","Gasket","13",""
"18","1040300153","Elastic retainer for shaft 32","12","GB/T894.1-1986"
"19","00775300340001020","End line slotⅡ","2",""
"20","00775300310001010","Axle I","9",""
"21","1040000689","Bolt M8×35-8.8","2","GB/T5782-2000"
"22","00775600000001050","Articulated pin","2",""
"23","1040200503","Nut M8-8","2","GB/T889.1-2000"
"24","00775300340001040","Axle Ⅲ","2",""
