"Item","Part No.","Description","Qty."
"1","00003159","Plastic body","1"
"2","00003160","Plastic bottom","1"
"3","00004235","Toggle switch kit","1"
"4","00004236","Key switch kit","1"
"--","00003172","Key","1"
"5","00004238","Electromechanical panel kit","1"
"6","00004239","Alarm kit","1"
"7","00003718","Emergency stop switch","1"
"--","00003719","Red mushroom head","1"
"--","00003720","Base with 1 NC contact","1"
"8","00004240","Emergency stop switch harness","1"
"9","00004234","PCB & Display kit","1"
"10","00002379","Screen protector kit","1"
