"Item","Part No.","Description","Qty."
"1","10002261","Pothole guard weldment","1"
"2","00002411","Bolt  GB/T 5783  M10×45","4"
"3","10001467","Linkage weldment","1"
"4","10001466","Pin","2"
"5","10002259","Pothole guard weldment","1"
"6","00000351","8812-161812  Bearing","4"
"7","10001465","Pin","4"
"8","00002572","Nut  GB/T 6183.1  M10","8"
"9","10002258","Pothole link plate","2"
"10","00000356","8812-202309  Bearing","8"
"11","00002577","Nut  GB/T 6183.1  M14","6"
"12","10001464","Gas shock strut","2"
"13","10001495","Gas shock","2"
"14","00001039","Screw  GB/T 78  M5×10","2"
"15","10001463","Pin","2"
"16","10001462","Roller","2"
"17","10001471","Linkage weldment","1"
"18","10014566","Pothole guide","1"
"19","00000367","8812-252815  Bearing","4"
"20","00007482","Seal  GB/T 13871.1 FB 25 32 7  Ⅲ","2"
"21","10001491","Pothole hole pusher pin","2"
"22","10001493","Adjusting washer 2","2"
"23","10001494","Adjusting washer 3","2"
"24","10001490","Pothole hole pusher rod","2"
