"Item","Part No.","Description","Qty."
"1","00004224","PCU housing","1"
"2","00004225","Keyboard","1"
"3","09140006","Decal, Platform control panel","1"
"4","00002324","Joystick","1"
"--","00004226","Switch boot","1"
"5","00004633","Coil cord","1"
"--","00005234","Housing","1"
"--","00004637","Male insert","1"
"--","00004755","Male contacts","5"
"--","00003043","Cable gland","1"
"6","00004606","Platform control box harness","1"
"--","00005233","Hood","1"
"--","00004638","Female insert","1"
"--","00004754","Female contacts","5"
"--","00003043","Cable gland","2"
"7","00002326","Alarm","1"
"8","00002322","Main board","1"
"9","00003718","Emergency stop switch","1"
"--","00003719","Red mushroom head","1"
"--","00003720","Base with 1 NC contact","1"
"10","00002328","Decal, Emergency stop panel","1"
