"NO.","Material No.","Item and Spec","Units","Remark"
"21","00775807010401060","Danger-Scalding","1",""
"22","00775307080402130","Pre-operation Inspection","1",""
"23","00775807000201060","Label-Key Switch","1",""
"24","00775807000201170","Label-Insurance","5",""
"25","00775807000401200","Label-Low Temperature Start","1",""
"26","00775807010401040","Forbidden on Water","2",""
"27","00775807010401190","Danger- Explosion HazardⅠ","1",""
"28","00775807010401030","Hydraulic Oil Tank","1",""
"29","00775407000201110","Label-Liquid Level","1",""
"30","00775807010401010","Diesel Tank","1",""
"31","00775807010201020","Fill up as Instructed","1",""
"32","00775307080402060","Danger- Explosion and Fire Hazard","1",""
"33","00775807010401160","Forbidden Touch","1",""
"34","00775807010401050","Disconnecting Battery","1",""
