"Item","Part No.","Description","Qty."
"1","10002960","Mounting plate","1"
"2","00002483","Motor controller","1"
"3","00000620","Washer  GB/T 97.1  6","4"
"4","00000621","Washer  GB/T 93  6","4"
"5","00000743","Bolt  GB/T 5783  M6×20","4"
"6","00003069","200A  Fuse assembly","1"
"--","00000759","200A  Fuse","1"
"--","00000757","Fuse seat","1"
"7","00002313","Screw  GB/T 818  M5×14 - H","2"
"8","00002391","Screw  GB/T 818  M5×8 - H","2"
"9","00000606","Washer  GB/T 93  5","2"
"10","00000605","Washer  GB/T 97.1  5","2"
"11","00002028","DC Contactor","1"
