"Item","Part No.","Description","Qty."
"1","10001396","Steer cylinder assembly (without seal kit)","1"
"--","00003068","Seal kit","1"
"2","00001290","Straight fitting","2"
"3","10001075","Cover","2"
"4","10001073","Screw","2"
"5","00002405","Cotter pin  GB/T 91  4×32","6"
"6","00000686","891-1634.5  Pin","2"
"7","00000350","8812-161808  Bearing","4"
"8","10001074","Washer","2"
"9","00000351","8812-161812  Bearing","4"
"10","10007819","Steer yoke weldment","1"
"11","10001996","Wheel","2"
"12","10001104","Washer","4"
"13","00002077","Nut  GB/T 9459  M16×1.5","4"
"14","00001002","Screw  GB/T 973  M4×10","6"
"15","10001553","Cover","2"
"16","10001502","Bearing cover","2"
"17","00000822","Screw  GB/T 70.3  M5×16","8"
"18","00002939","Key  GB/T 1096  8×7×50","2"
"19","10002264","Wheel shaft","2"
"20","00001129","Bearing  30206  GB/T 297","4"
"21","10001503","Connection plate","2"
"22","00002887","Bolt  QC/T 340  M10×25","12"
"23","10000638","Cap","2"
"24","00000765","Screw  GB/T 70.3  M8×20","12"
"25","10007818","Steer yoke weldment","1"
"26","00000387","8832-18  Bearing","2"
"27","10002263","Tie rod","1"
"28","00002572","Nut  GB/T 6183.1  M10","2"
