"Item","Part Number","Description","Qty.","Remark"
"1","00006444","Bolt  GB/T 5782  M8 × 145","2",""
"2","00000608","Flat Washer  GB/T 97.1  8","20",""
"3","90003696","Support","1",""
"4","90013590","Accumulator","1",""
"5","90004392","Support","1",""
"6","00001063","Bolt  GB/T 5783  M8 × 16","4",""
"7","00000609","Spring Washer  GB/T 93  8","10",""
"8","00001163","Nut  GB/T 6182  M8","6",""
"9","00000674","Bolt  GB/T 5783  M10 × 20","6",""
"10","00000679","Spring Washer  GB/T 93  10","9",""
"11","00000615","Flat Washer  GB/T 97.1  10","9",""
"12","92100161","Support","1",""
"13","00002744","Pressure Filter","1",""
"14","92100017","Support","1",""
"15","92051202","Clamp","1",""
"16","92051201","Clamp","1",""
"17","00002030","Bolt  GB/T 5782  M10 × 50","3",""
"18","00001188","Screw  GB/T 70.2  M8×20","4",""
"19","00001187","Screw  GB/T 70.2  M8×16","4",""
"20","92051199","Plate","1",""
"21","92051166","Chain","1",""
"22","00002000","Flat Washer  GB/T 96.1  8","2",""
"23","92051228","Support","1",""
"24","00000947","Washer  GB/T 894.1-50","4",""
"25","92051193","Shim","4",""
"26","92051189","Shim","4",""
"27","","Tower Telescopic Cylinder Assembly 
(Refer to 5-4)","1",""
"28","92051195","Pin, Pivot","1",""
