"Item","Part Number","Description","Qty.","Remark"
"1","00002556","Screw  GB/T 70  M10 × 70","4",""
"2","00000615","Flat Washer  GB/T 97.1  10","8",""
"3","92100189","Boom Pad","1",""
"4","92100187","Shim","2",""
"5","92100185","Shim","2",""
"6","92100186","Shim","3",""
"7","92100188","Shim","3",""
"8","00000623","Nut  GB/T 6182  M10","4",""
"9","00001161","Bolt  GB/T 5783  M16 × 40","1",""
"10","00001035","Spring Washer  GB/T 93  16","1",""
"11","00000997","Flat Washer  GB/T 97.1  16","1",""
"12","00000223","8902-16120 Pin, Lock","1",""
"13","92051394","Pin, Pivot","1",""
"14","92051390","Shim","2",""
"15","92051388","Shim","2",""
"16","92048652","8813-657550 Sleeve Bearing","2",""
"17","00001246","Screw  GB/T 70  M5 × 16","8",""
"18","00000606","Spring Washer  GB/T 93  5","8",""
"19","00000605","Flat Washer  GB/T 97.1  5","8",""
"20","92000284","Support","1",""
"21","00000748","Limit Switch","2",""
"22","00000875","Bolt  GB/T 5783  M8 × 20","4",""
"23","00000609","Spring Washer  GB/T 93  8","4",""
"24","00000608","Flat Washer  GB/T 97.1  8","4",""
