"Item","Part Number","Description","Qty.","Remark"
"1","92049266","Shim","2",""
"2","92049267","Shim","2",""
"3","92048639","8813-404830 Sleeve Bearing","4",""
"4","92049264","Pin, Pivot","1",""
"5","92049271","Shim","6",""
"6","92049272","Shim","6",""
"7","00002556","Screw  GB/T 70  M10 × 70","2",""
"8","00000623","Nut  GB/T 6182  M10","2",""
"9","92049270","Pin, Pivot","1",""
"10","92100201","Linker, Lower","1",""
"11","92100199","Linker, Upper","1",""
"12","00000818","Bolt  GB/T 5783  M6 × 16","6",""
"13","00000621","Spring Washer  GB/T 93  6","6",""
"14","00000620","Flat Washer  GB/T 97.1  6","6",""
"15","50000112","Nut QC/T 885 M6","6",""
"16","92049162","Channel","1",""
"17","92049281","Pin, Pivot","1",""
"18","","JIB Lifting Cylinder Assembly (Refer to 
5-9)","1",""
"19","00000220","8902-10080 Pin, Lock","2",""
"20","00000678","Bolt  GB/T 5783  M10 × 25","2",""
"21","00000679","Spring Washer  GB/T 93  10","2",""
"22","00000615","Flat Washer  GB/T 97.1  10","2",""
