"Item","Part Number","Description","Qty.","Remark"
"1","00006121","Bolt  GB/T 5786  M12×1.25 × 25","4",""
"2","00000815","Spring Washer  GB/T 93  12","8",""
"3","00000814","Flat Washer  GB/T 97.1  12","8",""
"4","92000126","Shim","6",""
"5","92000156","Sliding Block","2",""
"6","92000169","Insert","8",""
"7","92009458","Plug","32",""
"8","00001033","Nut  GB/T 6182  M6","16",""
"9","00000620","Flat Washer  GB/T 97.1  6","32",""
"10","92050922","Cover","1",""
"11","00000818","Bolt  GB/T 5783  M6 × 16","4",""
"12","00000621","Spring Washer  GB/T 93  6","4",""
"13","00002583","Flat Washer  GB/T 96.1  6","4",""
"14","92000154","Sliding Block","2",""
"15","92000111","Shim","6",""
"16","00006122","Bolt  GB/T 5786  M12×1.25 × 30","4",""
"17","00000774","Screw  GB/T 70  M6 × 20","16",""
"18","92100140","Guard","1",""
"19","92100139","Guard","1",""
"20","92000139","Insert","8",""
"21","92000141","Sliding Block","4",""
"22","92029615","Shim","12",""
"23","00000678","Bolt  GB/T 5783  M10 × 25","8",""
"24","00000679","Spring Washer  GB/T 93  10","8",""
"25","00000615","Flat Washer  GB/T 97.1  10","8",""
