"Item","Part Number","Description","Qty.","Remark"
"1","00000639","MC2M Controller","1",""
"--","85000008","MC2M Controller (CANOPEN PVG Valve)","1","BA24RT"
"--","85000009","MC2M Controller (CANOPEN PVG Valve)","1","BA28RT"
"--","85000018","MC2M Controller (J1939 PVG Valve)","1","BA24RT"
"--","85000019","MC2M Controller (J1939 PVG Valve)","1","BA28RT"
"2","00000774","Screw  GB/T 70  M6 × 20","7",""
"3","00000621","Spring Washer  GB/T 93  6","14",""
"4","00000619","Bolt  GB/T 5783  M6 × 25","4",""
"5","00000620","Flat Washer  GB/T 97.1  6","11",""
"6","92029394","Engine ECU","1",""
"7","92100027","Support","1",""
"8","00001063","Bolt  GB/T 5783  M8 × 16","2",""
"9","00000609","Spring Washer  GB/T 93  8","2",""
"10","00002000","Flat Washer  GB/T 96.1  8","2",""
"11","00003161","Lamp, Green","1",""
"12","00006155","Power Distribution Module (Refer to 7-5)","1",""
"13","00000876","Screw  GB/T 70  M6 × 16","4",""
"14","00000818","Bolt  GB/T 5783  M6 × 16","2",""
"15","00002583","Flat Washer  GB/T 96.1  6","2",""
"16","00001033","Nut  GB/T 6182  M6","3",""
"17","92049041","Support","1",""
"18","00002610","Tilt Sensor","1","Standard.single 
channel"
"","00002917","Tilt Sensor","1","Optional,dual 
channel"
