"Item","Part Number","Description","Qty.","Remark"
"1","92029593","Shim","2",""
"2","92029594","Shim","2",""
"3","92048277","Pin, Pivot","1",""
"4","00002465","8902-12120 Pin, Lock","1",""
"5","00002059","Bolt  GB/T 5783  M12 × 30","1",""
"6","00000815","Spring Washer  GB/T 93  12","1",""
"7","00000814","Flat Washer  GB/T 97.1  12","1",""
"8","92049266","Shim","2",""
"9","92049267","Shim","2",""
"10","92049264","Pin, Pivot","1",""
"11","00000220","8902-10080 Pin, Lock","1",""
"12","00000678","Bolt  GB/T 5783  M10 × 25","1",""
"13","00000679","Spring Washer  GB/T 93  10","1",""
"14","00000615","Flat Washer  GB/T 97.1  10","1",""
"15","00002580","Screw  GB/T 70.2  M10×30","1",""
"16","92001455","Washer","2",""
"17","92029982","Decal","1",""
"18","92032070","Decal","1",""
"19","92029981","Indicator","1",""
"20","00006418","Nut  GB/T 6172.1  M8","1",""
"21","92100722","Junction","1",""
"22","92048520","8813-505850 Sleeve Bearing","2",""
