"Item","Part Number","Description","Qty.","Remark"
"1","92000169","Insert","6",""
"2","92009458","Plug","24",""
"3","92000152","Sliding Block","1",""
"4","92000133","Shim","3",""
"5","00006122","Bolt  GB/T 5786  M12×1.25 × 30","6",""
"6","00000815","Spring Washer  GB/T 93  12","6",""
"7","00000814","Flat Washer  GB/T 97.1  12","6",""
"8","00000684","Bolt  GB/T 5783  M10 × 35","8",""
"9","00000679","Spring Washer  GB/T 93  10","8",""
"10","00000615","Flat Washer  GB/T 97.1  10","8",""
"11","92029615","Shim","12",""
"12","92000143","Sliding Block","4",""
"13","92000139","Insert","8",""
"14","92000121","Sliding Block","1",""
"15","92000120","Shim","3",""
"16","92100111","Plate","1",""
