"Item","Part Number","Description","Qty.","Remark"
"1","00001246","Screw  GB/T 70  M5 × 16","8",""
"2","00000606","Spring Washer  GB/T 93  5","8",""
"3","00003545","Flat Washer  GB/T 96.1  5","8",""
"4","92100248","Support","2",""
"5","00000748","Limit Switch","2",""
"6","00000743","Bolt  GB/T 5783  M6 × 20","8",""
"7","00000621","Spring Washer  GB/T 93  6","8",""
"8","00002583","Flat Washer  GB/T 96.1  6","8",""
"9","00003607","Bolt  GB/T 5783  M8 × 50","2",""
"10","00000609","Spring Washer  GB/T 93  8","6",""
"11","00000608","Flat Washer  GB/T 97.1  8","4",""
"12","92013750","Plate","1",""
"13","92007163","Clamp","2",""
"14","90001243","Plate","1",""
"15","90001242","Clamp","2",""
"16","00006392","Screw  GB/T 70  M6 × 60","2",""
"17","90023286","Clamp","2",""
"18","00005201","Screw  GB/T 70  M6 × 50","2",""
"19","90003865","Clamp","2",""
"20","92056826","Turntable Counterweight","1",""
"21","92100376","Plug","2",""
"22","00003053","Screw  GB/T 70  M24 × 120","6",""
"23","00001159","Flat Washer  GB/T 97.1  24","6",""
"24","00002611","Nut  GB/T 6172.1  M16","12",""
"25","00002510","Nut  GB/T 6170  M16","12",""
"26","00000997","Flat Washer  GB/T 97.1  16","18",""
"27","00001049","Bolt  GB/T 5783  M16 × 60","6",""
"28","00001035","Spring Washer  GB/T 93  16","6",""
"29","92100816","Stirrup","2",""
