"Item","Part No.","Description","Qty."
"23","00000615","Washer  GB/T 97.1  10","1"
"24","10014558","Bumper (JCPT0812AC, JCPT1012AC, JCPT1212AC)","1"
"","10014559","Bumper (JCPT1412AC, JCPT1612ACS)","1"
"","10014560","Bumper (JCPT1612AC, JCPT1614AC)","1"
"25","00002572","Nut  GB/T 6183.1  M10","1"
"26","00000608","Washer  GB/T 97.1  8","4"
"27","00001163","Nut  GB/T 6182  M8","4"
"28","00002864","Bolt  QC/T 340  M6×16","2"
"29","00001508","Straight fitting","2"
"30","00000535","Filter assembly","1"
"--","00003061","Filter element","1"
"31","00002574","Nut  GB/T 6183.1  M6","3"
"32","00000832","Screw  GB/T 70.3  M6×25","3"
"33","10012199","Controller bracket","1"
"34","00006262","Motor controller","1"
"35","00000621","Washer  GB/T 93  6","4"
"36","00000774","Screw  GB/T 70.1  M6×20","4"
"37","","Function manifold (refer to 403.2)","1"
"38","00002875","Bolt  QC/T 340  M8×20","4"
"39","00000992","Circlips  GB/T 894.1-25","2"
"40","00000384","8832-26  Bearing","2"
"41","00002234","Screw  GB/T 70.1  M10×55","1"
"42","10000539","Bumper","1"
