"Item","Part No.","Description","Qty."
"27","00002096","896B-38.1×25A  Pin","2"
"28","","Lower lift cylinder assembly (without seal kit) (refer to 
401.1)","1"
"29","10019581","Inner arm 1","1"
"30","10002371","Pin","1"
"31","00008962","Hose clamp","2"
"32","10000047","Base plate","2"
"33","00002575","Nut  GB/T 6183.1  M8","2"
"34","00002089","Bolt  GB/T 5782  M8×50","2"
"35","10014451","Inner arm 2","1"
"36","10011770","Collar","5"
"37","00000822","Screw  GB/T 70.3  M5×16","5"
"38","10000260","Safety arm bushing","2"
"39","10000259","Safety arm","2"
"40","00005263","Bolt  QC/T 340  M10×30","4"
"41","10014454","Cable bridge","2"
"42","10011771","Clamp","5"
"43","00000565","898-38.1×199.5  Pin","4"
"44","10000256","Spacer sleeve","4"
"45","00000568","898-38.1×638.5  Pin","9"
"46","10000291","Inner arm 4","1"
"47","10000264","Block","40"
"48","00002884","Bolt  GB/T 16674  M10×100","2"
"49","10000252","Platform slider","4"
"50","00002572","Nut  GB/T 6183.1  M10","15"
"51","00002098","896B-38.1×146  Pin","4"
"52","00000439","8813-38.1×44.45×50.8  Bearing","6"
"53","10000293","Outer arm 5","1"
