"Item","Part No.","Description","Qty."
"1","10002069","Lower main rail, right","1"
"2","10000716","Upper main rail, right","1"
"3","10001178","Inserted pin","2"
"4","00002568","Bolt  GB/T 16674  M8×60","6"
"5","00001991","Rivet  GB/T 12618.4  4.8×16","2"
"6","00002575","Nut  GB/T 6183.1  M8","6"
"7","10002077","Rear rail","1"
"8","00002581","Bolt  GB/T 16674  M6×50","12"
"9","10002085","Entry gate","1"
"10","00002547","Bolt  GB/T 16674  M10×55","13"
"11","10000331","Latch handle","1"
"12","10000367","Spring","1"
"13","00002572","Nut  GB/T 6183.1  M10","13"
"14","10000299","Hinge A","1"
"15","10000302","Hinge B","1"
"16","00002574","Nut  GB/T 6183.1  M6","12"
"17","10002076","Upper main rail, left","1"
"18","10002073","Lower main rail, left","1"
"19","10014879","Main deck weldment","1"
"20","00001154","Screw  GB/T 70.3  M8×45","8"
"21","10000307","Roller bracket","2"
"22","10002031","Roller","2"
"23","00001295","Bearing  GB/T 276-1994 - 6204","2"
"24","00000887","Circlips  GB/T 893.1-47","2"
"25","00004385","Screw  GB/T 823  M4×8","1"
"26","00001823","Clip 24","1"
"27","00002064","Screw  GB/T 70.1  M4×20","2"
"28","10001776","Wire clip","2"
