"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1010201709","Rotary actuator","1",""
"2","00773200200001010","Bearing I","12",""
"3","00773200200001050","Pin III","2",""
"4","00773400300001200","Stop pin","5",""
"5","1040002433","Bolt M10×20-8.8","5","GB/T5783"
"6","00773200200800000","Lower linkage welds","2",""
"7","00773400100401030","Adjustable pad","2",""
"8","1040301511","Washer 24-200HV","1","GB/T97.1"
"9","1040201111","Nut M24-10","1","GB/T889"
"10","1040006411","Bolt M24×310-10.9","1","GB/T5782"
"11","1040302490","Washer 12-200HV","8","GB/T97.1"
"12","1040004653","Bolt M12×30-10.9","8","GB/T5783"
"13","1040103076","Screw M8×16-8.8","4","GB/T70.3"
"14","00773700400001290","Snap-gauge","2",""
"15","00773200200001110","Pin IV","1",""
"16","1010201710","Rotary actuator","1",""
"17","00773200200200000","Support welds","1",""
"18","00773200200600000","Upper linkage welds","1",""
"19","00773200200001020","Pin I","1",""
"20","1040200504","Nut M10-8","1","GB/T889.1"
"21","1040004581","Bolt M10×80-8.8","1","GB/T5783"
"22","1040302489","Washer 10-200HV","2","GB/T97.1"
"23","00773200200001070","Pipeline clamp","4",""
"24","1040102773","Screw M6×40-8.8","8","GB/T70.1"
"25","1040004522","Bolt M8×50-8.8","4","GB/T5783"
"26","1040301515","Washer 8-200HV","4","GB/T97.1"
"27","00773200200001090","Pipeline guard","1",""
"28","00773200200001060","Bearing II","2",""
"29","00773200200001030","Pin III","1",""
"30","00773200201200000","Jib lifting cylinder","1",""
