"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1040002738","Bolt 
  M6×12-A2-70","12","GB/T5783-2000"
"2","1040300771","Washer    6-200HV","13","GB/T97.1-2002"
"3","00773200400001170","Seal plateⅠ","2",""
"4","1040102757","Screw    M10×25-8.8","10","GB/T70.3-2000"
"5","00773200400001202","Protective plate I","2",""
"6","00773200402200000","Upper upright","1",""
"7","00773200400001010","Axle A1","2",""
"8","00773400200001070","Stop pin","13",""
"9","1040004511","Bolt 
  M12×30-8.8","4","GB/T5783-2000"
"10","00773200400001080","Axle A8","4",""
"11","1040002436","Bolt 
  M12×25-8.8","","GB/T5783-2000"
"12","00773200400001230","Bearing","4",""
"13","1040103302","Screw    M8×22-10.9","2","GB/T70.1-2000"
"14","1040301515","Washer 8-200HV","6","GB/T97.1-2002"
"15","00771602800001330","Lubricating-free bearing    I","2",""
"16","00773200400001151","Pipe clamp","1",""
"17","1040101492","Screw    M10×25-8.8","2","GB/T70.1-2000"
"18","00773200400001220","Block","1",""
"19","00773200400800000","Linkage III","1",""
"20","00773400300001210","Bearing","10",""
"21","1040101567","Screw    M12×35-10.9-DKL","4","GB/T70.1-2000"
"22","1040005846","Bolt 
  M12×20-8.8","2","GB/T5783-2000"
"23","1040302490","Washer 12-200HV","6","GB/T97.1-2002"
"24","1040102372","Hexagon socket cap screws M6×20-A2-70","1","GB/T70.1-2000"
"25","1040100765","Screw M6×20-8.8","2","GB/T70.3-2000"
"26","00773200400001140","Pad","1",""
"27","00773200400401080","Tower boom counterweight","1",""
"28","00773200400400000","Linkage II","1",""
"29","1040004590","Bolt 
  M8×14-8.8","2","GB/T5783-2000"
"30","00773200400001120","Baffle I","1",""
"31","1040103112","Screw    M8×25-8.8","2","GB/T70.1-2000"
"32","00773200400001110","Nylon block","1",""
"33","00773200400200000","Linkage I","1",""
"34","00773200400001060","Axle A6","2",""
