"NO.","Material No.","Item and Spec","Qty","Remark"
"1","00773200100410000","Platform welds","1",""
"2","00773400130401040","Block I","8",""
"3","00773400130401050","Block II","8",""
"4","00771900311001240","Roller bearing","8",""
"5","1040103112","Screw M8×25-8.8","2","GB/T70.1"
"6","1040200503","Nut M8-8","2","GB/T889.1"
"7","00773400130401060","Block III","1",""
"8","00773200100001010","Linkage","2",""
"9","00773200100001020","Axle I","4",""
"10","00773702800001380","Stop pin","4",""
"11","1040004646","Bolt M10×15-8.8","4","GB/T5783"
"12","1040200741","Nut M20-10","1","GB/T889.1"
"13","1040301033","Washer 20-300HV","1","GB/T97.1"
"14","00773200100001030","Adjustable pad","2",""
"15","1040006410","Bolt M20×240-10.9","1","GB/T5782"
"16","00773200100200000","Transition seat","1",""
"17","1040201381","Nut M12-8","1","GB/T6170"
"18","00773400130401070","Round head bolt","1",""
"19","1029907627","Load cell","1",""
"20","1040302489","Washer 10-200HV","6","GB/T97.1"
"21","1040006553","Bolt M10×25-10.9","6","GB/T70.1"
"22","1040001703","Bolt M12×65-10.9","2","GB/T5782"
"23","1040302490","Washer 12-200HV","2","GB/T97.1"
"24","1040201163","Nut M12-10","2","GB/T889.1"
"25","1040201902","Nut M6-6","12","GB/T802"
"26","1040300771","Washer 6-200HV","24","GB/T97.1"
"27","1040102774","Screw M6×15-8.8","6","GB/T70.1"
"28","1040102773","Screw M6×40-8.8","6","GB/T70.1"
"29","00773200100401010","Baffle","1",""
"30","1999904986","Document box","1",""
"31","1040004508","Bolt M10×45-8.8","4","GB/T5783"
"32","1040302512","Washer 10-200HV","8","GB/T96.1"
"33","1040200504","Nut M10-8","4","GB/T889.1"
