"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1040102429","Screw M4×8","20",""
"2","1101000180","Lock","4",""
"3","1040201772","Nut M4-A2-70","8","GB/T6170-2000"
"4","1040004565","Bolt M10×30-8.8-DKL","2","GB/T5783-2016"
"5","1040200113","Nut M10-8","2","GB/T6170-2000"
"6","1040103112","Screw M8×25-8.8","4","GB/T70.1-2000"
"7","1040301515","Washer 8-200HV","12","GB/T97.1-2002"
"8","00773202800001031","Back box cover","2",""
"9","00773202802600000","Battery box cover","2",""
"10","1040005831","Bolt M10×25-DKL","12","GB/T5789-1986"
"11","1040300735","Washer 6-200HV","8","GB/T96.1-2002"
"12","1040001631","Bolt M6×20-A2-70","8","GB/T5783-2000"
"13","1040100886","Screw M8×20-8.8","8","GB/T70.1-2008"
"14","1040006550","Bolt M16×40-10.9","16","GB/T5783-2000"
"15","00773202802400000","Back cover of chassis","1",""
"16","1040002434","Bolt M10×25-8.8","8","GB/T5783-2000"
"17","1040302512","Washer 10-200HV","12","GB/T96.1-2002"
"18","00773202800001070","Motor installation plate","2",""
"19","1030202594","Travel reducer","2",""
"20","1040202297","Nut 
  M16×1.5-10 (Spiralock)","18","GB/T6177.2-2000"
"21","00773402820001090","Charger port protective box","1",""
"22","1040200503","Nut 
  M8-8","2","GB/T889.1-2000"
"23","1040004521","Bolt M8×45-8.8","2","GB/T5783-2000"
"24","00773202802200000","Front cover of chassis","1",""
"25","00773402820001061","Angle sensor protective hood","1",""
"26","00773202800800001","Hub  assembly  of 
left 
steering 
knuckle","1",""
"27","1030800871","Tire","4","ML22×7-20200814LT"
"28","1040202296","Nut 
  5/8-18UNF-10(Spiralock)","18","ANSIB18.2.2-2015"
"29","1040002439","Bolt M12×40-8.8","2","GB/T5783-2000"
"30","00773400200001070","Stop pin","2",""
"31","00773202800400000","Frame welds","1",""
"32","00773202800001040","Steering knuckle gasket II","2",""
