"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1029903711","Sheath","1","Upper connector of chain"
"2","1022200446","Sheath","1","Platform connector"
"3","1029906298","Anti-crushing switch","1",""
"4","1020521022","Foot switch","1",""
"5","1021404016","Load cell","1",""
"6","1020700951","Sheath","1","Jib lifting valve"
"7","1020700951","Sheath","1","Jib lowering valve"
"8","1020700951","Sheath","1","Jib right-swing valve"
"9","1020700951","Sheath","1","Jib left-swing valve"
"10","1020700951","Sheath","1","Platform left-swing valve"
"11","1020700951","Sheath","1","Platform right-swing valve"
"12","1020706399","Sheath","1","Cable lower connector"
