"NO.","Material No.","Item and Spec","Qty","Remark"
"33","00773402820001070","Steering knuckle main pin","2",""
"34","00773202800001120","Steering pin II","1",""
"35","1040004517","Bolt M8×16-8.8","2","GB/T5783-2000"
"36","00773400300001200","Stop pin","2",""
"37","00773402820001030","Steering pull rod gasket","4",""
"38","1040002433","Bolt M10×20-8.8","6","GB/T5783-2000"
"39","00773402800001260","Bearing","8",""
"40","00773202800001100","Steering pin","3",""
"41","00775802800001250","Stop pin","6",""
"42","00773202801800000","Cylinder","1",""
"43","00773202801400000","Steering linkage","1",""
"44","1040202280","Nut M24-05-DKL","2","GB/T6181-1986"
"45","1040500394","Cotter pin","2","GB/T91-2000"
"46","1040301511","Washer 24-200HV","2","GB/T97.1-2002"
"47","00773202800001051","Steering knuckle gasket I","2",""
"48","00773402820001110","Bearing","4",""
"49","00773202800001060","Spacer bush","2",""
"50","00773202800600001","Hub 
assembly 
of 
right 
steering 
knuckle","1",""
"51","1040103110","Screw M8×10-8.8","4","GB/T70.1-2000"
"52","00773202800001130","Charger installation plate","2",""
"53","1040002458","Bolt M8×40-8.8","4","GB/T5783-2000"
"54","1040302480","Washer 8-200HV","4","GB/T96.1-2002"
"55","00773202800001020","Pipeline tray","1",""
"56","00773202800001090","Battery box pin","4",""
"57","00773202800001080","Battery box pad","4",""
"58","1089900652","Sealing strip","1",""
"59","204060296","Great wall vehicle gear oil","1",""
