"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1040004678","Door stopper bolt M10×70","6",""
"2","1040200113","Nut 
  M10-8","6","GB/T6170-2000"
"3","00773200800400000","Left bracket","1",""
"4","00773200800600000","Right bracket","1",""
"5","1040002433","Bolt M10×20-8.8","8","GB/T5783-2000"
"6","1040302512","Washer 10-200HV","22","GB/T96.1-2002"
"7","00773700810800000","Manual valve tools","1",""
"8","1040101846","Screw","2","M4×10-8.8"
"9","00773700810001050","Shelf","2",""
"10","00773200801800000","Electric control box bracket","1",""
"11","1040301510","Washer","4","GB/T93-1987 8"
"12","1040301515","Washer 8-200HV","8","GB/T97.1-2002"
"13","1040004590","Bolt M8×14-8.8","4","GB/T5783-2000"
"14","1040004519","Bolt M8×25-8.8","4","GB/T5783-2000"
"15","00773200800001010","Pin I","2",""
"16","00773700400001290","Card board","4",""
"17","1040103558","Screw M8×25-8.8","8","GB/T70.3-2008"
"18","1040004518","Bolt M8×20-8.8","6","GB/T5783-2000"
"19","1040302480","Washer 8-200HV","10","GB/T96.1-2002"
"20","1040201089","Nut 
  M8-8","4","GB/T6170-2000"
"21","1040004565","Bolt M10×30-8.8-DKL","6","GB/T5783-2016"
"22","1040102761","Screw M10×20-8.8","4","GB/T70.1-2000"
"23","00773200800001080","Pipeline anti-wear pad","2",""
"24","00773200800001020","Adjustable pad","4",""
"25","00773200800001030","Plastic pad","2",""
"26","1040103111","Screw M8×16-8.8","4","GB/T70.1-2000"
"27","00773200800001050","Rotary limit support","1",""
"28","1040102778","Screw M6×10-8.8","2","GB/T70.1-2000"
"29","1040002434","Bolt M10×25-8.8","8","GB/T5783-2000"
"30","00773200801200000","Left holder","1",""
"31","00773200801400000","Right holder","1",""
"32","00773200800200000","Turntable welds","1",""
