"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1020520136","Toggle switch","1","Illumination"
"2","1020520993","Boom handle","1",""
"3","1029802085","Nylon plug","1",""
"4","1020520083","Toggle switch","1","Drive orientation"
"5","1020520136","Toggle switch","1","Horn"
"6","1020520084","Toggle switch","1","Travel speed control"
"7","1020405061","Alarm indicator panel","1",""
"8","1020519658","Emergency stop button","1",""
"","1020509007","Button seat","1",""
"9","1020520084","Toggle switch","1","Platform leveling control"
"10","1020520994","Drive control handle","1",""
"11","1020520084","Toggle switch","1","Main boom telescopic"
"12","1020520084","Toggle switch","1","Tower boom lifting"
"13","1020520084","Toggle switch","1","Jib rotation"
"14","1020520084","Toggle switch","1","Jib lifting"
"15","1020520084","Toggle switch","1","Platform rotary switch"
"16","1020103903","Controller","1",""
"","1020103955","Connector assembly","1",""
"17","1022399012","Line slot","1",""
"18","1020404405","Flash buzzer","1",""
"19","1029904980","Terminal","7",""
"20","1029905392","Fuse terminal","4",""
"21","1029904980","Terminal","4",""
"22","1020703394","Deutsch connector","1","Cable chain harness"
