"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1020103232","Sheath","1","Speed sensor"
"2","1029902114","Sheath","1","Electromagnetic brake"
"3","1029902113","Sheath","1","Temperature"
"4","1020303202","Relay","1","Main relay"
"5","/","Sheath","1","Right driver"
"6","/","Relay","1","Switch relay"
"7","/","/","1","DC Output"
"8","/","/","1","DC Input"
"9","/","Terminal","1","Controller power insurance"
"10","/","Sheath","1","Left driver"
"11","/","Terminal","1","Positive pole"
"12","1021404018","Frame angle sensor","1",""
"13","1020103232","Sheath","1","Speed sensor"
"14","1029902114","Sheath","1","Electromagnetic brake"
"15","1029902113","Sheath","1","Temperature"
"16","1020706399","Sheath","1","ECU cable"
"","1029900400","Terminal","24",""
"17","1020700951","Sheath","","Charger"
"18","1029900385","Steering angle sensor","",""
"19","/","Terminal","","Negative pole"
"20","/","Fuse","",""
