"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1020519658","Emergency stop button","1","Emergency stop switch"
"","1020509007","Button seat","1",""
"2","1020520084","Toggle switch","1","Emergency power and 
enable"
"3","1020520943","Key switch","1",""
"4","1020520084","Toggle switch","1","Jib rotation"
"5","1020520084","Toggle switch","1","Boom telescopic"
"6","1020520084","Toggle switch","1","Boom lifting"
"7","1020520084","Toggle switch","1","Tower boom lifting"
"8","1020520084","Toggle switch","1","Turntable rotation"
"9","1020520084","Toggle switch","1","Jib lifting"
"10","1020520084","Toggle switch","1","Platform rotation"
"11","1020520084","Toggle switch","1","Platform leveling"
"12","1020201651","Display","1",""
"13","1020303202","Relay","1","Ignition relay"
"14","1020103903","Controller","1",""
"15","1020705826","Diode terminal","2",""
"16","1029904980","Terminal","11",""
"17","1020604934","Fuse terminal","10",""
