"№ п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"1","1040100148","Винт M8×45-8.8","4","JB/T5783"
"2","1040301510","Шайба 8","4","JB/T93"
"3","1010306020","Балансировочный клапан","1",""
"4","1140114839","Шарнирное соединение","2",""
