"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00771007100601060","Планка I","2",""
"2","1040004520","Болт","10","JB/T5783"
"3","1040301515","Шайба","30","JB/T97.1"
"4","00771007100601050","Планка  Ⅱ","2",""
"5","1040004518","Болт","4","JB/T5783"
"6","00771007100601010","Ветроотбойник","1",""
"7","1040200170","Гайка","4","JB/T889"
"8","00771007100601020","Гнутая пластина I","1",""
"9","00773407140601040","Обратный водовод I","1",""
"10","00773407100601140","Подкладка","6",""
"11","1040302821","Шайба","4","JB/T96.1"
"12","00773407100601130","Губка изоляции","2",""
"13","1040002262","Болт","4","JB/T5783"
"14","00773407140601050","Обратный водовод II","1",""
"15","1990202287","Хомут спирального червяка","8",""
"16","00773407140601070","Штуцер II","1",""
"17","1990202282","Хомут спирального червяка","2",""
"18","00771007100601030","Гнутая пластина  Ⅱ","1",""
