"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040502050","D pin 8×53","2",""
"2","00775800100001170","Limit block","2",""
"3","1040004596","Bolt M8×50-8.8","2","GB/T5782-2000"
"4","1040202855","Nut M8-8","17","GB/T889.1-2000"
"5","00775800100001190","Square plug","2",""
"6","00775800101800000","Guard rails II","1",""
"","00775800111800000","Guard rails II 
(Extended edition)","1","2023.10 Modify"
"7","00775800102000000","Guard rails III","1",""
"8","00775800101600000","Guard rails I","1",""
"","00775800111600000","Guard rails I 
(Extended edition)","1","2023.10 Modify"
"9","1040502051","D pin 8×70","2",""
"10","1999904986","Storage box","1",""
"11","1040104080","Screw M5×12-8.8","4","GB/T70.1-2000"
"12","1040300514","Washer 5-200HV","4","GB/T97.1-2002"
"13","1040201904","Nut M5-8","4","GB/T889.1-2000"
"14","1040007538","Bolt M8×65-8.8","9","GB/T5782-2000"
"15","1040301515","Washer 8-200HV","31","GB/T97.1-2002"
"16","1040104027","Screw M8×65-8.8","1","GB/T70.1-2000"
"17","00775800100001030","Clamp","1",""
"18","00775800102400000","Tension grip","1",""
"19","00775800102800000","Tie rod","1",""
"20","00775800100400000","Lower components","1",""
"","00775800110400000","Lower components 
(Extended edition)","1","2023.10 Modify"
