"NO.","Material No.","Item and Spec","Qty","Remark"
"24","00773400410001060","Pin A3","1",""
"25","1040002433","Bolt M10×20-8.8","20","GB/T5783"
"26","00773400410001180","Sam-board","10",""
"27","00773400400001300","Small cover plate","1",""
"28","00773400410001200","Sealing plate I","1",""
"29","00773400410001290","Sealing plate IV","2",""
"30","00773400410001170","PinA10","2",""
"31","1040103140","Screw M12×25-8.8","4","GB/T70.1"
"32","00773400410001190","Slider","2",""
"33","00773400410001040","Pin A1","2",""
"34","00773400411000000","Upright","1",""
"35","00773400410001020","Upright guide block","1",""
"36","1040101494","Screw M12×40-8.8","2","GB/T70.1"
"37","00773400410600000","Linkage III","1",""
"38","00773400411600000","Lifting cylinder","1",""
"39","00773400410001270","Bushing","1",""
"40","00773400410001260","Bushing","1",""
"41","00773400410001110","Pin A8","1",""
"42","00773400410001230","Stop pin","1",""
"43","00773400410800000","Linkage IV","",""
"44","00773400410001010","Buffer plate","2",""
"45","1040101995","Screw M10×30-8.8","4","GB/T70.1"
"46","00773400410001160","Pin","1",""
"47","00773400410001300","Clip","1",""
"48","00773400410001310","Pressing plate","1",""
"49","1040301515","Gasket 8-200HV","2","GB/T97.1"
"50","1040102739","Screw M8×60-8.8","2","GB/T70.1"
"51","00773400410001280","Mounting plate","2",""
"52","1040300771","Gasket 6-200HV","4","GB/T97.1"
"53","1040102774","Screw M6×15-8.8","4","GB/T97.1"
"54","1990300400","U type tape","2",""
