"No.","Material No.","Item and Spec","Unit","Note"
"1","1020520994","Joystick","1",""
"2","1020520083","Toggle switch","1","Driving 
orienteering"
"3","1020520995","Potentiometer","1",""
"4","1020520136","Toggle switch","1","Light"
"5","1020520135","Toggle switch","1","Travel speed 
control"
"6","1020405061","Indicator panel","1",""
"7","1020519658","Emergency button","1",""
"","1020509007","Button seat","1",""
"8","1020520135","Toggle switch","1","Platform leveling 
control"
"9","1020520993","Joystick","1",""
"10","1020520084","Toggle switch","1","Platform rotary 
switch"
"11","1020520084","Toggle switch","1","Jib lifting switch"
"12","1020520084","Toggle switch","1","Tower boom 
lifting"
"13","1020520084","Toggle switch","1","Jib telescoping"
"14","1020103903","controller","1",""
"","1020103955","Connectors","1",""
"15","1022399012","Wiring duct","1",""
"16","1020404405","Flashing buzzer","1",""
"17","1029904980","Terminal","7",""
"18","1029905392","Terminal","4",""
"19","1020704265","Grounding terminal board","4",""
"20","1020703394","Deutsch connector","1","Chain electric 
cables"
"21","1020703393","Round plug connector","1","Platform Electric 
Cables"
