"No.","Material No.","Item and Spec","Unit","Note"
"33","00773402820001060","Angle sensor protective hood","4",""
"34","00773402820001130","Front cover","1",""
"35","1040005831","Bolt M10×25-DKL","8","GB/T5789"
"36","00773402830001120","Chassis counterweight Ⅱ","1",""
"37","00773402820001140","Rear cover","1",""
"38","1030202344","Reducer motor assembly","2",""
"39","1040004649","Screw 5/8-11UNC×45-10.9","16","ANSIB18.3"
"40","1040302490","Washer 12-200HV","4","GB/T97.1"
"41","00773402822400000","Centre revolving joint- bracket 
welds","1",""
"42","1040102429","Screw M4×8","10","GB/T70.3"
"43","1040201772","Nut M4-A2-70","4","GB/T6170"
"44","00773402821020000","Battery package cover","2",""
"45","1101000164","Metal lock","2",""
"46","00773402831001012","Li-ion battery counterweight","2",""
"47","00773402831030000","Battery package welds","1",""
"48","1040004511","Bolt M12×30-8.8","4","GB/T5783"
"49","1040302492","Washer 16-200HV","4","GB/T97.1"
"50","1040004570","Bolt M16×30-8.8","4","GB/T5783"
"51","00773402820001160","Rear tank- lower cover","2",""
"52","1040301511","Washer 24-200HV","2","GB/T97.1"
"53","1089900652","Sealing strip","7",""
"54","1990300401","U-SHAPE TAPE","1",""
"55","204060296","Great Wall Vehicle gear oil","4",""
