"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1040201111","Nut M24-10","1","GB/T889"
"2","00773400100401030","Adjusting shim","2",""
"3","00773400110410000","Transition seat","1",""
"4","1040004619","Bolt M8×35-8.8","4","GB/T5783"
"5","1040301515","Gasket 8-200HV","4","GB/T97.1"
"6","00773400100401020","Pressing plate","2",""
"7","1040004654","Bolt M16×1.5×40-10.9","8","GB/T5787"
"8","1040004505","Bolt M24×280-10.9","1","GB/T5782"
"9","1040004033","Bolt M10×25-10.9","8","GB/T5783"
"10","1040302489","Gasket 10-200HV","8","GB/T97.1"
"11","00773400110401050","Plate","1",""
"12","1040201865","Nut M6-8","4","GB/T6170"
"13","1040300735","Gasket 6-200HV","8","GB/T96.1"
"14","1040001631","Bolt M6×20-A2-70","4","GB/T5783"
"15","00773400110401010","Anti-drop plateⅡ","2",""
"16","1021404016","Load cell","1",""
"17","007734001004 0","Tray weldment","1",""
"18","1040200507","Nut M12-8","4","GB/T889.1"
"19","1040302821","Gasket 12-200HV","6","GB/T96.1"
"20","1040004556","Bolt M12×35-8.8","6","GB/T16674.1"
"21","1040103112","Screw M8×25-8.8","3","GB/T70.1"
"22","00773400100401040","Cushion block","1",""
"23","1040003324","Bolt M16×30-10.9-DKL","4","GB/T5783"
"24","1040302492","Gasket 16-200HV","4","GB/T97.1"
"25","1040201902","Nut M6-6","12","GB/T802"
"26","1040300771","Gasket 6-200HV","24","GB/T97.1"
"27","1040102774","Screw M6×15-8.8","6","GB/T70.1"
"28","1040102773","Screw M6×40-8.8","6","GB/T70.1"
"29","00773400100201010","Dam-boardⅠ","1",""
"30","00773406 10000","Platform 
electrical 
control 
box assembly","1",""
"31","1040200504","Nut M10-8","4","GB/T889.1"
"32","1040302512","Gasket 10-200HV","8","GB/T96.1"
"33","1040004509","Bolt M10×50-8.8","4","GB/T5783"
