"NO.","Material No.","Item and Spec","Qty","Remark"
"1","00773400210200000","Support","1",""
"2","00773400200001010","Bearing","12",""
"3","00773400200001070","Stop pin","2",""
"4","1040002437","Bolt M12×35-8.8","2","GB/T5783"
"5","00773400200001060","Pin","1",""
"6","00773400200001050","Pin","1",""
"7","1040004658","Bolt M10×110-8.8","2","GB/T5782"
"8","1040302489","Gasket 10-200HV","8","GB/T97.1"
"9","00773400200001080","Pipeline backplate","2",""
"10","1040103106","Screw M5×30-8.8","8","GB/T70.1"
"11","00773400200001090","Pipeline neck","4",""
"12","1040004535","Bolt M10×60-8.8","2","GB/T5782"
"13","1040200507","Nut M12-8","4","GB/T889.1"
"14","00773400200400000","Linkage","1",""
"15","00773400200001030","Pin","2",""
"16","1040004657","Bolt M12×80-8.8","4","GB/T5782"
"17","1040200504","Nut M10-8","8","GB/T889.1"
"18","1040004656","Bolt M10×65-8.8","4","GB/T5782"
"19","00773400200600000","Linkage","2",""
"20","00773400200001040","Pin","2",""
"21","1010201471","Rotary actuator","1","L20-08-180"
"22","00773400201000000","Jib cylinder","1",""
"23","00773400200001100","Bushing","2",""
