"No.","Material No.","Item and Spec","Unit","Note"
"1","1140101476","Tube to swivel","2",""
"2","1140112827","Male stud connector","4",""
"3","1140112820","Male stud connector","1",""
"4","1140114046","T-junction","1",""
"5","1040004522","BoltM8×50-8.8","2","GB/T5783"
"6","1040301510","Washer 8","2","GB/T93"
"7","1010306368","Cylinder control valve","1",""
